SurfacePositionX,SurfacePositionY,SurfacePositionZ,HitPositionX,HitPositionY,HitPositionZ,PointOfClosestApproachX,PointOfClosestApproachY,PointOfClosestApproachZ,HitDirectionX,HitDirectionY,HitDirectionZ,eventID,volumeID
0,284.55,459.371,-1319.38,281.937,463.425,-1319.13,280.839,461.578,-0.116515,0.507764,0.853581,84,69
-9.09495e-13,299.5,485.265,-1321.94,293.08,482.156,-1322.64,296.124,487.273,-0.11653,0.507766,0.853578,84,69
9.09495e-13,1779.55,3000,-1664.59,1789.4,2995.86,-1664.42,1788.64,2994.59,-0.115979,0.508234,0.853374,84,77
0,1794.5,3025.89,-1667.91,1803.94,3020.27,-1667.91,1803.94,3020.27,-0.115976,0.50823,0.853377,84,77
9.09495e-13,1809.45,3051.79,-1671.21,1818.39,3044.54,-1671.4,1819.24,3045.96,-0.116034,0.508153,0.853415,84,77
9.09495e-13,1839.35,3051.79,-1673.19,1827.06,3059.1,-1673.19,1827.06,3059.1,-0.116001,0.508169,0.853409,84,77
0,1824.4,3077.68,-1674.89,1834.53,3071.65,-1674.89,1834.53,3071.65,-0.116038,0.508189,0.853393,84,77
0,1854.3,3077.68,-1676.64,1842.17,3084.47,-1676.68,1842.36,3084.79,-0.115977,0.508201,0.853394,84,77
1.81899e-12,2018.75,3407.58,-1719.51,2030.03,3399.94,-1719.6,2030.44,3400.62,-0.115987,0.508209,0.853388,84,77
1.81899e-12,2048.65,3407.58,-1721.21,2037.51,3412.5,-1721.38,2038.27,3413.77,-0.115986,0.508191,0.853399,84,77
9.09495e-13,2033.7,3433.48,-1723.09,2045.73,3426.31,-1723.09,2045.73,3426.31,-0.116007,0.508187,0.853398,84,77
9.09495e-13,2063.6,3433.48,-1724.78,2053.13,3438.73,-1724.88,2053.56,3439.45,-0.115976,0.508223,0.853381,84,77
1.81899e-12,2048.65,3459.37,-1726.58,2061.03,3452,-1726.58,2061.03,3452,-0.115993,0.50823,0.853374,84,77
1.81899e-12,2078.55,3459.37,-1728.37,2068.86,3465.14,-1728.37,2068.86,3465.14,-0.116009,0.508218,0.853379,84,77
9.09495e-13,2093.5,3485.26,-1732.25,2085.86,3493.69,-1731.86,2084.16,3490.83,-0.115992,0.508189,0.853399,84,77
0,0,0,694.146,-2.97186,1.12574,694.251,-2.01235,2.0621,0.0781197,0.713501,0.696285,86,87
2.2557e-15,14.95,25.8942,696.506,18.5884,22.1657,696.506,18.5884,22.1657,0.0781392,0.713503,0.696282,86,87
4.51139e-15,29.9,51.7883,698.763,39.1892,42.2695,698.763,39.1893,42.2695,0.0781396,0.713497,0.696288,86,87
2.68055e-15,59.8,51.7883,700.76,57.426,60.0657,700.44,54.5046,57.2149,0.0781388,0.713517,0.696267,86,87
4.93624e-15,74.75,77.6825,702.696,75.1057,77.318,702.696,75.1057,77.318,0.0781449,0.713512,0.696272,86,87
2.42826e-14,418.6,407.582,740.05,416.135,410.108,740.05,416.135,410.108,0.078154,0.713502,0.696281,86,87
2.65383e-14,433.55,433.477,742.558,439.027,432.447,742.307,436.736,430.212,0.0781648,0.713504,0.696278,86,87
2.8794e-14,448.5,459.371,744.564,457.337,450.315,744.564,457.337,450.315,0.0781433,0.713503,0.696281,86,87
2.69631e-14,478.4,459.371,746.329,473.455,466.044,746.241,472.652,465.261,0.0781556,0.713521,0.696261,86,87
2.92188e-14,493.35,485.265,748.498,493.254,485.364,748.498,493.254,485.364,0.0781671,0.713517,0.696264,86,87
3.06976e-13,3065.25,3000,1029.98,3066.24,2996.73,1030.1,3067.37,2997.83,0.0783724,0.71365,0.696104,86,88
3.09232e-13,3080.2,3025.89,1032.36,3087.97,3017.93,1032.36,3087.97,3017.93,0.0783634,0.713657,0.696099,86,88
3.07401e-13,3110.1,3025.89,1034.05,3103.29,3032.87,1034.05,3103.29,3032.87,0.0783587,0.713647,0.696109,86,88
3.09657e-13,3125.05,3051.79,1036.31,3123.9,3052.97,1036.31,3123.9,3052.97,0.0783668,0.713639,0.696117,86,88
3.11912e-13,3140,3077.68,1038.57,3144.5,3073.07,1038.57,3144.5,3073.07,0.0783673,0.713625,0.69613,86,88
3.10081e-13,3169.9,3077.68,1040.25,3159.82,3088.01,1040.25,3159.82,3088.01,0.0783363,0.713622,0.696137,86,88
7.40281e-13,6145.95,6000,1367.74,6142.96,5998.12,1368.01,6145.43,6000.53,0.0783764,0.713782,0.695969,86,99
7.42536e-13,6160.9,6025.89,1370.27,6166.04,6020.63,1370.27,6166.04,6020.63,0.0783808,0.713784,0.695966,86,99
7.40705e-13,6190.8,6025.89,1371.96,6181.37,6035.57,1371.96,6181.37,6035.57,0.078398,0.713779,0.695969,86,99
7.42961e-13,6205.75,6051.79,1374.22,6201.97,6055.66,1374.22,6201.97,6055.66,0.0783764,0.713763,0.695988,86,99
7.45217e-13,6220.7,6077.68,1375.96,6217.79,6071.09,1376.48,6222.58,6075.76,0.0783671,0.713759,0.695993,86,99
7.64563e-13,6564.55,6407.58,1413.94,6563.73,6408.42,1413.94,6563.73,6408.42,0.0783754,0.713757,0.695994,86,99
